N°,Objetivo del Indicador,Tipo de indicador,Nombre del indicador,Categoría del indicador,CR, Relación con CADP Director del indicador,Fórmula de cálculo,Unidad de Medida,Medios de Verificación ,Notas
53,Actualizar perfiles de cargo de programa 01,Nuevo,Porcentaje de perfiles de cargos aprobados mediante acto administrativo del programa 01 en el año t.,Gestión de personas,Gestión Personas,Gestión institucional: control interno,(Número de perfiles de cargos aprobados mediante el respectivo acto administrativo del año t/N° de perfiles de cargos del programa 01 en el año t)*100,Porcentaje,"1. Actos administrativos que aprueben los Perfiles de Cargos del Programa 01 en el año t.
2.- Manual de perfiles
3.- Informe de análisis","Para el cálculo del denominador:
1. El informe de análisis deberá considerar lo siguiente:
a) La estructura organizacional y dotación. 
b) descripción completa de los cargos
c) Análisis con perspectiva de género
d) Ser validado y enviado por el jefe del centro de responsabilidad al jefe superior del servicio en el mes de diciembre del año t. mediante memorándum y/o correo electrónico. 
Para el cálculo del numerador:
1. Los actos administrativos que aprueben los perfiles de cargo deben estar sancionados y ser enviado mediante memorándum o correo electrónico al Director/a Ejecutivo/a a más tardar en diciembre
Sobre el indicador:
1. El Manual de Perfiles de Cargos deberá ser enviado mediante memorándum o correo electrónico al Director/a Ejecutivo/a a más tardar en diciembre y contendrá a los menos los siguientes elementos: 
a)Identificación del Cargo
b)Objetivo del cargo 
c) Funciones del cargo.
d) Competencias especificas del cargo"
54,"Desarrollar una eficaz gestión en los diferentes niveles, mediante el monitoreo y seguimiento de los instrumentos de gestión",Reformulado,Porcentaje de indicadores de gestión monitoreados del SLEP,Planificación y control de gestión,Planificación y control de gestión,Gestión institucional: control interno,(Número de indicadores de gestión monitoreados en el año t / Total de indicadores de gestión vigentes en el año t) *100,Porcentaje,"1. Actos administrativos que aprueban los instrumentos y sus modificaciones si corresponde.
2. Informes de monitoreo de los indicadores de gestión
3. Calendarización del monitoreo de los indicadores de gestión","Para el cálculo del denominador:
1. Entiéndase por indicadores de gestión los formulados en instrumentos de gestión tales como: CDC: Convenio de Desempeño Colectivo; PMG: Programa de Mejoramiento de la Gestión; Convenio de Gestión Educacional ; ADP segundo nivel jerárquico y ADP de los EE.
Para el cálculo del numerador:
1. Se entiende por indicador monitoreado al que cuenta con mediciones de su avance y sus respectivos medios de verificación de acuerdo con la calendarización del monitoreo de los indicadores.
Sobre el indicador:
1. La calendarización del monitoreo de los indicadores debe estar aprobada a más tardar en el mes de marzo del año t, por el jefe/a del área y enviado a través de memorándum o correo electrónico al Director/a Ejecutivo/a del Servicio y debe considerar
a) indicadores de gestión a monitorear
b) fechas de corte del monitoreo de los indicadores de gestión
c) fechas de retroalimentación con los equipos de trabajo
2. Los informes de monitoreo contendrán la medición de los indicadores, los riesgos los riesgos detectados, acciones de mitigación y los medios de verificación correspondientes serán enviados mediante memorándum o correo electrónico por el Jefe del centro de responsabilidad al Director/a ejecutivo/a del Servicio de acuerdo a la calendarización del monitoreo "
55,"Desarrollar una eficaz gestión en los diferentes niveles, mediante el monitoreo y seguimiento de los instrumentos de gestión",Reformulado,Porcentaje de indicadores monitoreados de los instrumentos de gestión asociados a la ley 21.040 y ADP,Planificación y control de gestión,Planificación y control de gestión,Gestión institucional: control interno,(Número de indicadores monitoreados de los instrumentos de gestión asociados a la ley 21.040 y ADP en el año t / Número total de indicadores formulados de los instrumentos de gestión asociados a la ley 21.040 y ADP en el año t) *100,Porcentaje,"1. Informe de monitoreo de los instrumentos de gestión asociados a la ley 21.040 y ADP .
2. Instrumentos formalizados
3. Calendarización del monitoreo de los instrumentos ","Para el cálculo del denominador:
1. Los instrumentos de gestión asociados a la ley 21.040 son CGE, ADP 2do Nivel, ADP EE, Plan Anual , PEL entre otros.
2. Entiéndase por:
- CGE: Convenio de Gestión Educativa
- ADP: Alta Dirección Pública.
- PEL: Plan Estratégico Local
- ADP EE: Alta Dirección Pública de Establecimientos Educacionales
Para el cálculo del numerador:
1. Se entiende por indicador monitoreado al que cuenta con mediciones de su avance de acuerdo con la calendarización del monitoreo de los instrumentos.
Sobre el indicador:
1. Los informes de monitoreo contendrán la medición de los indicadores, los riesgos detectados y los medios de verificación correspondientes y serán enviados mediante memorándum o correo electrónico por el jefe del centro de responsabilidad al Director/a ejecutivo/a del Servicio de acuerdo a la calendarización del monitoreo.
2. La calendarización del monitoreo de los instrumentos debe estar aprobada a más tardar en el mes de marzo del año t, por el jefe/a del área y enviado a través de memorándum o correo electrónico al Director/a Ejecutivo/a del Servicio."
56,"Desarrollar una eficaz gestión en los diferentes niveles, mediante el monitoreo y seguimiento de los instrumentos de gestión",Reformulado,"Porcentaje de indicadores monitoreados del CDC y PMG 
",Planificación y control de gestión,Planificación y control de gestión,Gestión institucional: control interno,(Número de indicadores monitoreados en el año t del CDC y PMG / Número total de indicadores formulados del CDC y PMG para el año t) *100,Porcentaje,"1. Actos administrativos que aprueban los instrumentos de CDC y PMG y sus modificaciones si corresponde.
2. Informe de monitoreo de los indicadores de CDC y PMG
3. Calendarización del monitoreo de los indicadores de CDC y PMG","Para el cálculo del denominador:
1. El número total de indicadores formulados corresponden al total de indicadores aprobados en los actos administrativos de PMG, CDC y sus modificaciones.
2. Entiéndase por:
- CDC: Convenio de Desempeño Colectivo
- PMG: Programa de Mejoramiento de la Gestión
Para el cálculo del numerador:
1. Se entiende por indicador monitoreado del CDC y PMG al que cuenta con mediciones de su avance de acuerdo con la calendarización del monitoreo de los indicadores.
Sobre el indicador:
1. Los informes de monitoreo del CDC y PMG contendrán la medición de los indicadores, los riesgos detectados, acciones de mitigación y los medios de verificación correspondientes serán enviados mediante memorándum o correo electrónico por el jefe del centro de responsabilidad al Director/a ejecutivo/a del Servicio de acuerdo a la calendarización del monitoreo 
2. La calendarización del monitoreo de los indicadores de CDC y PMG debe estar aprobada a más tardar en el mes de marzo, por el jefe/a del área y enviado a través de memorándum o correo electrónico al Director/a Ejecutivo/a del Servicio"
57,"Desarrollar una eficaz gestión del liderazgo en los diferentes niveles, procurando ofrecer el mejor servicio como sostenedores.",Nuevo,Porcentaje de cumplimiento del Plan de conferencia (s) de Directores.,Apoyo técnico-pedagógico,Apoyo técnico pedagogico,Apoyo Técnico Pedagógico: gestión educativa,(Número de actividades realizadas en el año t del Plan de conferencia (s) de Directores /Número total de actividades para el año t del Plan de conferencia (s) de Directores) *100,Porcentaje,"1. El Plan de conferencias. de Directores
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de conferencia (s) de Directores (artículo 11 de la Ley 21.040) (en adelante Plan):
a) Debe esta formalizado por el jefe del centro de responsabilidad mediante el envío de un memorándum o correo electrónico del Jefe del Centro de responsabilidad al Director(a) Ejecutivo (a), a más tardar en marzo.
b) Debe indicar el número de conferencias que se realizarán en el año.
c) Debe contener las actividades con sus respectivas descripciones, fechas programadas y medios de verificación. 
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1.Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan."
58,Mejorar niveles de aprendizaje de todos los estudiantes a través de una gestión pedagógica de calidad,Reformulado,Porcentaje de cumplimiento del Plan de acompañamiento en aula con foco en observación y retroalimentación.,Apoyo técnico-pedagógico,Apoyo técnico pedagogico,Apoyo Técnico Pedagógico: gestión educativa,(Número de actividades realizadas en el año t del Plan de acompañamiento en aula con foco en observación y retroalimentación / Número total de actividades del Plan de acompañamiento en aula con foco en observación y retroalimentación para el año t)*100,Porcentaje,"1. Plan de acompañamiento en aula con foco en observación y retroalimentación
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de acompañamiento en aula con foco en observación y retroalimentación (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en abril del año t
b) Debe contener las actividades sus respectivas descripciones, fechas programadas y medios de verificación. 
c) Debe considerar las características de los establecimientos del territorio, sus equipos directivos y docentes
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
59,Mejorar niveles de aprendizaje de todos los estudiantes a través de una gestión pedagógica de calidad,Reformulado,Porcentaje de cumplimiento del Plan de Apoyo y Acompañamiento a los Establecimientos Educacionales y Jardines Infantiles en el año t,Apoyo técnico-pedagógico,Apoyo técnico pedagogico,Apoyo Técnico Pedagógico: gestión educativa,(Número de actividades ejecutadas en el año t del Plan de Apoyo y Acompañamiento a los EE y JI /Número total de actividades del Plan de Apoyo y Acompañamiento a los EE y JI para el año t) *100, Porcentaje  ,"1. Plan de Apoyo y Acompañamiento a los Establecimientos Educacionales y Jardines Infantiles
2. Informe de avance del Plan
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de Apoyo y Acompañamiento a los Establecimientos Educacionales y Jardines Infantiles (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en abril del año t
b) Debe contener las actividades, con sus respectivas descripciones, fechas programadas y medios de verificación que den cuenta de las actividades. 
c) Considerará todas las modalidades de enseñanza del Servicio.
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
60,Potenciar los objetivos de la ENEP en la nueva educación pública a través del nuevo Plan Estratégico Local del SLEPCA,Nuevo,Porcentaje de cumplimiento del plan de elaboración del Nuevo Plan Estratégico Local PEL 2.0,Apoyo técnico-pedagógico,Apoyo técnico pedagogico,Apoyo Técnico Pedagógico: gestión educativa,(Número de hitos cumplidos en el año t del Plan de elaboración del Nuevo Plan Estratégico Local PEL 2.0 en el año t / Total de hitos planificados del Plan de elaboración del Nuevo Plan Estratégico Local PEL 2.0 en el año t) * 100,Porcentaje,"1. Plan de elaboración del Nuevo Plan Estratégico Local PEL 2.0 formalizado
2. Informe de avance del Plan de elaboración del Nuevo Plan Estratégico Local PEL 2.0
3. Informe de cumplimiento del Plan de elaboración del Nuevo Plan Estratégico Local PEL 2.0","Para el cálculo del denominador:
1. El Plan de Nuevo Plan Estratégico Local PEL 2.0 debe:
a. Estar validado por el jefe/a del centro de responsabilidad y formalizado a más tardar en el mes de marzo del año t mediante envío del plan al Director Ejecutivo a través de un memorándum o correo electrónico.
b. Contener hitos, fechas programadas y medios de verificación.
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que un hito está implementado cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
61,Mejorar niveles de aprendizaje de todos los estudiantes a través de una gestión pedagógica de calidad,Reformulado,Porcentaje de cumplimiento del Plan de Fortalecimiento a la Educación Parvularia,Apoyo técnico-pedagógico,Apoyo técnico pedagogico,Apoyo Técnico Pedagógico: gestión educativa,(Número de actividades realizadas en el año t del Plan de Fortalecimiento a la Educación Parvularia / Número total de actividades de Plan de Fortalecimiento a la Educación Parvularia para el año t) * 100,Porcentaje,"1. Plan de Fortalecimiento a la Educación Parvularia
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de Fortalecimiento a la Educación Parvularia (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener las actividades con sus respectivas descripciones, fechas programadas y medios de verificación. 
c) Debe considerar las necesidades de cada una de las salas cunas, jardines infantiles y escuelas o liceos que cuenten con niveles de transición.
d) Debe considerar jornadas de reflexión para la definición de estrategias con foco en la mejora de los aprendizajes de los niños y niñas.
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
62,"Fomentar una mejor gestión de los activos físicos de los establecimientos educacionales del territorio

Mejorar la gestión de los activos físicos de los establecimientos educacionales del territorio"".",Reformulado,Porcentaje de cumplimiento del Plan de Inventario de Educación Técnico Profesional. ,Apoyo técnico-pedagógico,Apoyo técnico pedagogico,Apoyo Técnico Pedagógico: gestión educativa,(Número de hitos cumplidos en el año t del Plan de Inventario de Educación Técnico Profesional / Número total de hitos del Plan de Inventario de Educación Técnico Profesional para el año t) *100,Porcentaje,"1. El Plan de Inventario de Educación Técnico Profesional formalizado y aprobado.
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de Inventario de Educación Técnico Profesional (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación, los que deben estar vinculados a inventariar recursos asociados a las definiciones establecidas en el Decreto 240 de 2019, que regula los recursos de aprendizaje que utilice la educación técnico profesional.
c) Debe considerar la totalidad de liceos TP dependientes del SLEP}
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
63,Fortalecer los procesos de monitoreo y seguimiento a los aprendizajes de los estudiantes del territorio,Reformulado,Porcentaje de cumplimiento del Plan de monitoreo de los aprendizajes,Apoyo técnico-pedagógico,Apoyo técnico pedagogico,Apoyo Técnico Pedagógico: gestión educativa,(Número de hitos cumplidos en el año t del Plan de monitoreo de los aprendizajes /Número total de hitos del Plan de monitoreo de los aprendizajes para el año t) *100,Porcentaje,"1. Plan de monitoreo de los aprendizajes 
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de monitoreo de los aprendizajes (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación, los que deben determinar los instrumentos a utilizar para monitorear aprendizajes, como el Diagnóstico Integral de Aprendizajes (DIA) o similares.
c) Debe contener un hito asociado al análisis y socialización de los resultados obtenidos del instrumento utilizado para el monitoreo de los aprendizajes.
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
64,Monitorear y evaluar los programas educativos que se ejecutan en el territorio por parte de los establecimientos educacionales.,Reformulado,Porcentaje de cumplimiento del Plan de Seguimiento y Evaluación de Programas Educativos,Apoyo técnico-pedagógico,Apoyo técnico pedagogico,Apoyo Técnico Pedagógico: gestión educativa,(Número de hitos cumplidos en el año t del Plan de Seguimiento y Evaluación de Programas Educativos /Número total de hitos del Plan de Seguimiento y Evaluación de Programas Educativos para el año t) *100,Porcentaje,"1. Plan de Seguimiento y Evaluación de Programas Educativos
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de Seguimiento y Evaluación de Programas Educativos (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación. 
c) Debe contener un hito de levantamiento de programas educativos presentes en los EE del territorio
d) Debe contener estrategias de seguimiento y evaluación de los programas educativos levantados
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
65,"Mejorar las condiciones físicas, de higiene, equipamiento y los recursos educativos.",Reformulado,Porcentaje de proyectos postulados para la obtención de reconocimiento oficial de jardines infantiles ,Apoyo técnico-pedagógico,Apoyo técnico pedagogico,Apoyo Técnico Pedagógico: gestión educativa,(Número Proyectos Postulados en Secreduc o Plataforma RO /AF para la obtención de reconocimiento oficial de jardines infantiles en el año t/ Número proyectos planificados para el ingreso en Secreduc o plataforma RO/AF para la obtención de reconocimiento oficial para el año t)*100,Porcentaje,"1. Listado de proyectos planificados para la postulación en Secreduc o plataforma RO/AF para la obtención del Reconocimiento Oficial. 
2. Comprobante de postulación por plataforma RO/AF u Oficio de ingreso a Secreduc 
3. Informe de cumplimiento con listado de proyectos postulados","Para el cálculo del denominador:
1. Los listados de proyectos planificados deben ser validados por el jefe del centro de responsabilidad mediante su firma y ser enviados mediante memorándum o correo electrónico al jefe de servicio a más tardar en el mes de marzo del año t. 
Para el cálculo del numerador:
1. Comprobante de postulación de acuerdo a la modalidad de ingreso puede ser cualquiera de los siguientes:
*correo o imagen (pantallazo) de plataforma que compruebe el ingreso u,
* oficio de ingreso. 
2. Para los ingresos que hagan uso de recursos administrativos, adjuntar oficio de ingreso. 
3. Entiéndase por recurso administrativo los procedimientos regulados en la Ley N° 19.880. (Recurso de Reclamación y recurso extraordinario de revisión)
4. El informe de cumplimiento debe ser validado por el jefe del centro de responsabilidad mediante su firma.
Sobre el indicador:
1. Se entiende por proyectos postulados a aquellas solicitudes de Reconocimiento Oficial o Autorización de Funcionamiento ingresadas al Ministerio de Educación, en cualquiera de las alternativas que para ello disponga.
2. Para el cálculo del indicador se considerarán aquellos proyectos de jardines infantiles postulados hasta el 30 de diciembre"
66,Mejorar niveles de aprendizaje de todos los estudiantes a través de una gestión pedagógica de calidad,Reformulado,Porcentaje de establecimientos educacionales que aplican instrumentos para evaluar lectura comprensiva en segundo básico,Apoyo técnico-pedagógico,Apoyo técnico pedagogico,Apoyo Técnico Pedagógico: gestión educativa,(Número de EE que aplican instrumentos para evaluar lectura comprensiva en segundo básico en el año t /Número total de EE del SLEP que imparten segundo básico en el año t)*100,Porcentaje,"1. Instrumento de evaluación visado por equipo UATP Servicio Local
2. Listado de establecimientos del territorio que imparten 2do básico
3. Informe de resultados que evidencie la cobertura de la aplicación del instrumento. 
 ","Para el cálculo del denominador:
1. Se considerará como total de establecimientos, solo los que imparten en el año t el nivel de enseñanza al cual se le aplicara la evaluación. 
Para el cálculo del numerador:
1. El instrumento debe ser aplicado a lo menos al 75% de los estudiantes del nivel por EE para ser considerado en el numerador.
Sobre el indicador:
1. El instrumento utilizado deberá estar visado por el equipo de UATP del Servicio Local en el mes de mayo del año t, el que puede corresponder al Diagnóstico Integral de Aprendizajes (DIA)
2. El instrumento deberá ser aplicado para estudiantes de segundo básico.
3. El informe de resultados debe:
a) Ser validado por el jefe del centro de responsabilidad mediante firma con corte en el mes de diciembre.
b) Indicar los EE y cursos en los que el instrumento fue aplicado. "
67,Mejorar niveles de aprendizaje de todos los estudiantes a través de una gestión pedagógica de calidad,Reformulado,Porcentaje de Jardines Infantiles que vinculan el PME al PEI y a los resultados del DID,Apoyo técnico-pedagógico,Apoyo técnico pedagogico,Apoyo Técnico Pedagógico: gestión educativa,(Número de Jardines Infantiles que vinculan el PME al PEI y a los resultados del DID/ Número total de Jardines infantiles que cuentan con PME) * 100,Porcentaje,"1. Informe de vinculación de PME, PEI y resultados del DID
2. Nómina de Jardines infantiles con PME","Para el cálculo del denominador:
1. Se entiende por nómina de Jardines infantiles con PME al listado de Jardines Infantiles del territorio que cuentan con un PME en el año t.
Para el cálculo del numerador:
1.Se entenderá por PME vinculado al PEI y a los resultados del DID cuando:
a) Al menos el 80% de los Objetivos Estratégicos del PME estén vinculados los resultados del DID y al menos el 80% de los Objetivos Estratégicos del PME estén vinculados a los contenidos del PEI.
Sobre el indicador:
1. Entiéndase por las siglas:
- PME: Planes de Mejoramiento Educativo
- DID: Diagnóstico Integral de Desempeño
- PEI: Proyecto Educativo Institucional
2. El informe de vinculación de PME, PEI y resultados del DID debe:
a) Ser validado por el jefe del Centro de Responsabilidad mediante su firma, con corte en el mes de diciembre del año t y debe ser enviado al Jefe de Servicio.
b) Contener la cantidad de Objetivos Estratégicos por PME asociados a los resultados del DID de cada Jardín Infantil.
c) Contener la cantidad de Objetivos Estratégicos por PME asociados a los contenidos de los PEI de cada Jardín Infantil "
68,"Mejorar los niveles de aprendizaje de los estudiantes del Territorio, a través de una gestión pedagógica de calidad, mediante el monitoreo de aprendizajes y la implementación de las mejores prácticas educativas.",Nuevo,Porcentaje de cumplimiento del Plan de Fortalecimiento de la asistencia educativa,Apoyo técnico-pedagógico,Apoyo técnico pedagogico,Apoyo Técnico Pedagógico: gestión educativa,(Número de actividades ejecutadas en el año t del Plan de Fortalecimiento de la asistencia educativa /Número total de actividades del Plan de Fortalecimiento de la asistencia educativa para el año t) *100,Porcentaje,"1. Plan de fortalecimiento de asistencia
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de Fortalecimiento de la asistencia educativa (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener las temáticas formativas acordes para cada estamento, con sus respectivas descripciones, consideración de evaluaciones, fechas programadas y medios de verificación. 
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación..

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
69,Procurar por que la comunidad educativa del territorio conozca las acciones del Servicio Local,Reformulado,"Porcentaje de cumplimiento del Plan comunicacional para promover la Revinculación, la asistencia y retención de los estudiantes en los establecimientos educacionales (E.E) ",Apoyo técnico-pedagógico,Apoyo técnico pedagogico,Apoyo Técnico Pedagógico: gestión educativa,"(Número de hitos cumplidos en el año t del Plan comunicacional para promover la asistencia y retención de los estudiantes en los E.E/ Número total de hitos para el año t del Plan comunicacional para promover la Revinculación, la asistencia y retención de los estudiantes en los E.E.) * 100",Porcentaje,"1. Plan comunicacional para promover la revinculación, la asistencia y retención de los estudiantes en los EE 
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan comunicacional para promover la revinculación, la asistencia y retención de los estudiantes en los EE (en adelante Plan):
a) Debe esta formalizado mediante el envío de un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo.
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación y enfocados en gestión de medios externos (medios tradicionales regionales; y medios especializados)y gestión de redes sociales.
c) Deberá estar articulado con el plan de promoción de asistencia de los equipos de UATP.
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
